Site;Code;Habitat;Age;;Buchholzia;Buchholzia fallax;Enchytraeidae;Enchytraeus;Enchytraeus japonensis;Enchytraeus luxuriosus;Fridericia;Fridericia tuberosa;Henlea cf. andreae PDW-2010;Henlea ventriculosa;Hormogastridae;Vignysa;Vignysa teres;Aporrectodea;Aporrectodea nocturna;Aporrectodea rosea;Bimastos;Bimastos parvus;Eisenia andrei;Eisenia fetida;Eiseniella tetraedra;Lumbricidae;Lumbricinae;Achaeta;Achaeta iberica;Amynthas;Megascolecidae;Microscolex;Microscolex dubius;Microscolex phosphoreus;Naididae;Eukerria;Eukerria saltensis;Ocnerodrilidae;Lumbricina
Aquitaine;CpUt_35Aqu;CpUt;1;147.15;;;10 729;631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aquitaine;EvEx_15Aqu;EvEx;1;159.16;;;20 830;;;;;;;;;;;;;;;;;;;;;;;;126;;;;;;;;
Boulloche;CpPl_01Bou;CpPl;3;37.3;;;;;;;;;;;;;;;;182;;;;;;;;;;;;;;;;;;;
Boulloche;CpPl_02Bou;CpPl;3;45.7;;;34 002;;;;;;;;;;;1 429;;38 863;;;;;;4 874;;;;;16 825;11;60 793;;;7 093;;;1 027
Boulloche;CpPl_03Bou;CpPl;3;104.9;;;7 986;;;;;;;;;;;40 711;;3 391;;;;;;178;;;;;17;;;;;83;841;;
Boulloche;CpUt_01Bou;CpUt;3;119.8;;;603;443;63 951;;;;;;;;;37;;8 340;;;;;;21;;;;;;;;;;;;;
Boulloche;CpUt_02Bou;CpUt;3;46.3;;;5 247;;;;;;;;;;;318;;60 630;;;;;;74;;;;;;;;;;;;;
Boulloche;CpUt_03Bou;CpUt;3;237.6;;;12 486;;;;;;;;;;;;;2 450;;;;454;;35 427;;;;;;;;;190;;;;
Boulloche;CpUt_04Bou;CpUt;3;103.6;;;12 148;4 939;;;;;;;;;;;;;;;;;;1 641;;;;;;;;;34;;;;
Boulloche;CpUt_05Bou;CpUt;3;33.6;;;;;;;;;;;;;;;;;;;;;;;;;;;208 505;;;;;;;;
Boulloche;EvEx_01Bou;EvEx;3;30.52;;;122 706;;;;;;;;;;;;;12 241;;;;;;;;;;;183;;;;;;;;
Cabrol;CpUt_21Cab;CpUt;2;59.7;;;;;;;;;;;;;;;;;;;;138;;28 385;;;;;;;;;;;;;
Cabrol;CpUt_22Cab;CpUt;2;73.7;;;;;68 463;;;;;;;;;;;;;;;2 282;;;;;;;;;;;;;;;
Cabrol;EvEx_09Cab;EvEx;2;31.7;;;99 723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camus;EspV_01Cam;EspV;3;42;;;7 350;;;;;;;;;;;189;;;;;;;;;;;;;211;;16 076;1 015;;;;;24
Camus;EspV_02Cam;EspV;3;24.5;;;13 815;;;;;;;;;;;61 076;;;;;;;;25;;;;;4 911;31;;221;;;;;
