"Ecole","Age","Habitat","Parcelle","Nb arbres","Occ_Nat","Occ_Ag","Occ_Ugs","Occ_eq","Occ_Tud","Occ_Tuc","P_Nat","P_Ag","P_Ugs","P_eq","P_Tud","P_Tuc","SHI","Temps","Ganivelles","Emplacement","Enfantsparm2","Surface"," Argile","Limon","Sable"," MO","N_Tot"," Cu"," Ni"," Pb"," Zn","Plagiolepis_pygmaea","Messor_groupe_ibericus","Lasius_groupe_niger","Monomorium_monorium","Crematogaster_scutellaris","Proformica_nasuta","Pheidole_pallidula","Tetramorium_sp","Tapinoma_madeirense","Colobopsis_truncata","Camponotus_piceus","Campanotus_lateralis","Messor_barbarus","Lasius_lasioides","Temnothorax_unifasciatus","Tapinoma_glabrella","Linepithema_humile","Camponotus_fallax","Camponotus_aethiops","Temnothorax_continentalis","Formica_cunicularia","Solenopsis_sp","Tapinoma_erraticum","Tapinoma_groupe_nigerrimum","Hypoponera_eduardi","Formica_rufibarbis","Temnothorax_lichtensteini","Temnothorax_recedens","Themnothorax_sp","Species","Nb_AppatsAnt","Nb_Appats","Activity"
"Boulloche","2021","CpPl","CpPl_01Bou","1","0.12","0.001","0.052","0.382","0.383","0.062","3","1","3","6","6","2","1.3220986077634","3","0","0","11.6","37.3","172","216.2","612","30.7","1.6","58.7","16.3","38.9","54.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3","0"
"Boulloche","2021","CpPl","CpPl_02Bou","0","0.12","0.001","0.052","0.382","0.383","0.062","3","1","3","6","6","2","1.3220986077634","3","0","1","11.6","45.7","167","204.2","629","42.5","1.6","54.4","14.9","32.2","49.4","1","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","4","3","3","100"
"Boulloche","2021","CpPl","CpPl_03Bou","4","0.12","0.001","0.052","0.382","0.383","0.062","3","1","3","6","6","2","1.3220986077634","3","0","0","11.6","104.9","149","186.7","664","34.7","1.7","57.8","15.1","26.8","51.9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","10","10"
"Voltaire","2021","CpPl","CpPl_04Vol","1","0.009","0","0.084","0.144","0.711","0.052","2","0","3","7","3","1","0.92552764419846","3","0","1","10.7","44.3","212","213.4","575","32.9","1.6","52.1","18.3","31.6","63.3","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","4","75"
"Voltaire","2021","CpPl","CpPl_05Vol","0","0.009","0","0.084","0.144","0.711","0.052","2","0","3","7","3","1","0.92552764419846","3","0","1","10.7","225.3","193","213","595","28.9","1.5","53.6","16.6","27.5","56.3","3","0","0","0","2","0","5","1","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","18","72.222222222222"
"Voltaire","2021","CpPl","CpPl_06Vol","1","0.009","0","0.084","0.144","0.711","0.052","2","0","3","7","3","1","0.92552764419846","3","0","1","10.7","68","254","228","518","59.9","2.5","46.1","16.5","27.6","69.2","0","0","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","6","100"
"Voltaire","2021","EvEx","CpPl_07Vol","1","0.009","0","0.084","0.144","0.711","0.052","2","0","3","7","3","1","0.92552764419846","3","1","1","10.7","96.45","360","264","376","31.1","1.1","72.6","16.2","59.9","98.3","1","2","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","7","7","100"
"Mermoz","2021","CpPl","CpPl_08Mer","2","0.078","0","0.011","0.257","0.588","0.066","1","0","3","6","8","3","1.0911904280319","3","0","1","19","31.5","126","130.8","743","36.7","1.8","17.1","9.9","18.5","38.4","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","3","66.666666666667"
"Mermoz","2021","CpPl","CpPl_09Mer","0","0.078","0","0.011","0.257","0.588","0.066","1","0","3","6","8","3","1.0911904280319","3","0","1","19","91.6","339","297","364","52.4","3","54.5","18.9","60.1","96.8","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","6","50"
"Mermoz","2021","CpPl","CpPl_10Mer","0","0.078","0","0.011","0.257","0.588","0.066","1","0","3","6","8","3","1.0911904280319","3","0","1","19","58.3","352","290","358","48.8","2.8","46.5","16","46.2","74.3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","33.333333333333"
"Kurosawa","2022","CpPl","CpPl_11Kur","1","0.27","0.047","0.03","0.103","0.446","0.103","5","3","5","9","9","1","1.4322444989407","2","0","1","11.7","52.4","392","264","344","68.2","3.7","38.5","18.1","30.7","75.2","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","50"
"Kurosawa","2022","CpPl","CpPl_12Kur","0","0.27","0.047","0.03","0.103","0.446","0.103","5","3","5","9","9","1","1.4322444989407","2","0","0","11.7","23.85","373","257","371","81.4","3.6","28.4","17.7","97.2","73.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Kurosawa","2022","CpPl","CpPl_13Kur","0","0.27","0.047","0.03","0.103","0.446","0.103","5","3","5","9","9","1","1.4322444989407","2","0","0","11.7","28.9","401","279","319","73.4","4.1","39.0","18.5","30.6","126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Kurosawa","2022","CpPl","CpPl_14Kur","1","0.27","0.047","0.03","0.103","0.446","0.103","5","3","5","9","9","1","1.4322444989407","2","0","0","11.7","70.7","400","282","319","67.6","3.7","38.6","17.9","28.6","76.5","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","40"
"Galilee","2022","CpPl","CpPl_15Gal","3","0.194","0.043","0.034","0.134","0.508","0.087","3","3","7","7","8","1","1.3941038469819","2","0","0","14.5","40.6","382","235.2","383","79.8","4","31.7","17","30.2","77.7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","33.333333333333"
"Galilee","2022","CpPl","CpPl_16Gal","3","0.194","0.043","0.034","0.134","0.508","0.087","3","3","7","7","8","1","1.3941038469819","2","0","1","14.5","52.7","379","246","376","52.2","3","34.5","17","27.3","71.6","2","1","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","4","5","80"
"Lou Planas","2022","CpPl","CpPl_17Lou","2","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","1","0","11.7","59.4","351","291","358","36.7","2","40.3","18.5","24","56.5","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","33.333333333333"
"Lou Planas","2022","CpPl","CpPl_18Lou","1","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","1","0","11.7","27.8","331","264","405","37.1","1.6","42.5","17.0","26.9","58.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"Lou Planas","2022","CpPl","CpPl_19Lou","1","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","1","0","11.7","29.5","327","283","390","53.7","1.7","47.9","18.3","25.4","57.7","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","50"
"Lou Planas","2022","CpPl","CpPl_20Lou","0","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","1","0","11.7","9.1","341","294","365","38.4","1.6","50.0","20.4","31.5","60.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"Lou Planas","2022","CpPl","CpPl_21Lou","3","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","1","1","11.7","89.2","306","252","441","33.5","1.5","53.2","22.2","31.1","64.5","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","40"
"Lou Planas","2022","CpPl","CpPl_22Lou","2","0.234","0.091","0.009","0.065","0.592","0.009","3","3","4","4","3","2","1.1310945778877","2","0","0","11.7","37.6","343","282","375","30.3","1.4","41.2","18.8","23.8","57.1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","33.333333333333"
