Ecole,Age,Habitat,Parcelle,Nb arbres,Temps,Ganivelles,Emplacement,Enfantsparm2,Surface, Argile,Limon,Sable, MO,N_Tot, Cu, Ni, Pb, Zn,Plagiolepis_pygmaea,Messor_groupe_ibericus,Lasius_groupe_niger,Monomorium_monorium,Crematogaster_scutellaris,Proformica_nasuta,Pheidole_pallidula,Tetramorium_sp,Tapinoma_madeirense,Colobopsis_truncata,Camponotus_piceus,Campanotus_lateralis,Messor_barbarus,Lasius_lasioides,Temnothorax_unifasciatus,Tapinoma_glabrella,Linepithema_humile,Camponotus_fallax,Camponotus_aethiops,Temnothorax_continentalis,Formica_cunicularia,Solenopsis_sp,Tapinoma_erraticum,Tapinoma_groupe_nigerrimum,Hypoponera_eduardi,Formica_rufibarbis,Temnothorax_lichtensteini,Temnothorax_recedens,Themnothorax_sp,Species,Nb_AppatsAnt,Nb_Appats,Activity
Boulloche,2021,CpPl,CpPl_01Bou,1,3,0,0,11.6,37.3,172,216.2,612.0,30.7,1.6,58.7,16.3,38.9,54.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,3,0.0
Boulloche,2021,CpPl,CpPl_02Bou,0,3,0,1,11.6,45.7,167,204.2,629.0,42.5,1.6,54.4,14.9,32.2,49.4,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,100.0
Boulloche,2021,CpPl,CpPl_03Bou,4,3,0,0,11.6,104.9,149,186.7,664.0,34.7,1.7,57.8,15.1,26.8,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,10,10.0
Voltaire,2021,CpPl,CpPl_04Vol,1,3,0,1,10.7,44.3,212,213.4,575.0,32.9,1.6,52.1,18.3,31.6,63.3,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,4,75.0
Voltaire,2021,CpPl,CpPl_05Vol,0,3,0,1,10.7,225.3,193,213.0,595.0,28.9,1.5,53.6,16.6,27.5,56.3,3.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13,18,72.22222222222221
Voltaire,2021,CpPl,CpPl_06Vol,1,3,0,1,10.7,68.0,254,228.0,518.0,59.9,2.5,46.1,16.5,27.6,69.2,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,6,100.0
Voltaire,2021,EvEx,CpPl_07Vol,1,3,1,1,10.7,96.45,360,264.0,376.0,31.1,1.1,72.6,16.2,59.9,98.3,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,7,100.0
Mermoz,2021,CpPl,CpPl_08Mer,2,3,0,1,19.0,31.5,126,130.8,743.0,36.7,1.8,17.1,9.9,18.5,38.4,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,66.66666666666666
Mermoz,2021,CpPl,CpPl_09Mer,0,3,0,1,19.0,91.6,339,297.0,364.0,52.4,3.0,54.5,18.9,60.1,96.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,6,50.0
Mermoz,2021,CpPl,CpPl_10Mer,0,3,0,1,19.0,58.3,352,290.0,358.0,48.8,2.8,46.5,16.0,46.2,74.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,33.33333333333333
